Gruppe;Kennzahl;Wert;Bewertung
Run 84;Varianten-ID;Capping;
Run 84;Success / Failure;true;Success
Run 84;Gesamtdauer ms;28,096;sehr schnell
Run 84;Final Placed Rooms;5;
Run 84;Open Sockets Pre-Cap;0;
Run 84;Error Cause;None;
Run 85;Varianten-ID;Capping;
Run 85;Success / Failure;true;Success
Run 85;Gesamtdauer ms;80,693;unproblematisch
Run 85;Final Placed Rooms;10;
Run 85;Open Sockets Pre-Cap;3;
Run 85;Error Cause;None;
Run 86;Varianten-ID;Capping;
Run 86;Success / Failure;true;Success
Run 86;Gesamtdauer ms;71,525;unproblematisch
Run 86;Final Placed Rooms;6;
Run 86;Open Sockets Pre-Cap;2;
Run 86;Error Cause;None;
Run 87;Varianten-ID;Capping;
Run 87;Success / Failure;true;Success
Run 87;Gesamtdauer ms;51,422;unproblematisch
Run 87;Final Placed Rooms;9;
Run 87;Open Sockets Pre-Cap;2;
Run 87;Error Cause;None;
Run 88;Varianten-ID;Capping;
Run 88;Success / Failure;true;Success
Run 88;Gesamtdauer ms;47,056;sehr schnell
Run 88;Final Placed Rooms;6;
Run 88;Open Sockets Pre-Cap;2;
Run 88;Error Cause;None;
Run 89;Varianten-ID;Capping;
Run 89;Success / Failure;true;Success
Run 89;Gesamtdauer ms;77,526;unproblematisch
Run 89;Final Placed Rooms;8;
Run 89;Open Sockets Pre-Cap;3;
Run 89;Error Cause;None;
Run 90;Varianten-ID;Capping;
Run 90;Success / Failure;true;Success
Run 90;Gesamtdauer ms;37,059;sehr schnell
Run 90;Final Placed Rooms;9;
Run 90;Open Sockets Pre-Cap;3;
Run 90;Error Cause;None;
Run 91;Varianten-ID;Capping;
Run 91;Success / Failure;true;Success
Run 91;Gesamtdauer ms;90,029;unproblematisch
Run 91;Final Placed Rooms;10;
Run 91;Open Sockets Pre-Cap;5;
Run 91;Error Cause;None;
Run 92;Varianten-ID;Capping;
Run 92;Success / Failure;true;Success
Run 92;Gesamtdauer ms;130,336;unproblematisch
Run 92;Final Placed Rooms;13;
Run 92;Open Sockets Pre-Cap;6;
Run 92;Error Cause;None;
Run 93;Varianten-ID;Capping;
Run 93;Success / Failure;true;Success
Run 93;Gesamtdauer ms;77,394;unproblematisch
Run 93;Final Placed Rooms;7;
Run 93;Open Sockets Pre-Cap;2;
Run 93;Error Cause;None;
Run 94;Varianten-ID;Capping;
Run 94;Success / Failure;true;Success
Run 94;Gesamtdauer ms;213,105;unproblematisch
Run 94;Final Placed Rooms;10;
Run 94;Open Sockets Pre-Cap;3;
Run 94;Error Cause;None;
Run 95;Varianten-ID;Capping;
Run 95;Success / Failure;true;Success
Run 95;Gesamtdauer ms;181,811;unproblematisch
Run 95;Final Placed Rooms;10;
Run 95;Open Sockets Pre-Cap;3;
Run 95;Error Cause;None;
Run 96;Varianten-ID;Capping;
Run 96;Success / Failure;true;Success
Run 96;Gesamtdauer ms;156,729;unproblematisch
Run 96;Final Placed Rooms;10;
Run 96;Open Sockets Pre-Cap;3;
Run 96;Error Cause;None;
Run 97;Varianten-ID;Capping;
Run 97;Success / Failure;true;Success
Run 97;Gesamtdauer ms;75,266;unproblematisch
Run 97;Final Placed Rooms;10;
Run 97;Open Sockets Pre-Cap;3;
Run 97;Error Cause;None;
Run 98;Varianten-ID;Capping;
Run 98;Success / Failure;true;Success
Run 98;Gesamtdauer ms;174,076;unproblematisch
Run 98;Final Placed Rooms;7;
Run 98;Open Sockets Pre-Cap;3;
Run 98;Error Cause;None;
Run 99;Varianten-ID;Capping;
Run 99;Success / Failure;true;Success
Run 99;Gesamtdauer ms;127,222;unproblematisch
Run 99;Final Placed Rooms;7;
Run 99;Open Sockets Pre-Cap;3;
Run 99;Error Cause;None;
Run 100;Varianten-ID;Capping;
Run 100;Success / Failure;true;Success
Run 100;Gesamtdauer ms;80,549;unproblematisch
Run 100;Final Placed Rooms;7;
Run 100;Open Sockets Pre-Cap;3;
Run 100;Error Cause;None;
Run 101;Varianten-ID;Capping;
Run 101;Success / Failure;true;Success
Run 101;Gesamtdauer ms;72,381;unproblematisch
Run 101;Final Placed Rooms;7;
Run 101;Open Sockets Pre-Cap;3;
Run 101;Error Cause;None;
Run 102;Varianten-ID;Capping;
Run 102;Success / Failure;false;Failure
Run 102;Gesamtdauer ms;113,556;unproblematisch
Run 102;Final Placed Rooms;0;
Run 102;Open Sockets Pre-Cap;-1;
Run 102;Error Cause;RoomLimitReachedBeforeCompletion (Overlap);
Run 103;Varianten-ID;Capping;
Run 103;Success / Failure;true;Success
Run 103;Gesamtdauer ms;126,446;unproblematisch
Run 103;Final Placed Rooms;8;
Run 103;Open Sockets Pre-Cap;4;
Run 103;Error Cause;None;
Run 104;Varianten-ID;Capping;
Run 104;Success / Failure;true;Success
Run 104;Gesamtdauer ms;99,207;unproblematisch
Run 104;Final Placed Rooms;8;
Run 104;Open Sockets Pre-Cap;4;
Run 104;Error Cause;None;
Run 105;Varianten-ID;Capping;
Run 105;Success / Failure;true;Success
Run 105;Gesamtdauer ms;73,761;unproblematisch
Run 105;Final Placed Rooms;8;
Run 105;Open Sockets Pre-Cap;4;
Run 105;Error Cause;None;
Run 106;Varianten-ID;Capping;
Run 106;Success / Failure;true;Success
Run 106;Gesamtdauer ms;53,358;unproblematisch
Run 106;Final Placed Rooms;8;
Run 106;Open Sockets Pre-Cap;4;
Run 106;Error Cause;None;
Run 107;Varianten-ID;Capping;
Run 107;Success / Failure;true;Success
Run 107;Gesamtdauer ms;40,566;sehr schnell
Run 107;Final Placed Rooms;13;
Run 107;Open Sockets Pre-Cap;4;
Run 107;Error Cause;None;
Run 108;Varianten-ID;Capping;
Run 108;Success / Failure;true;Success
Run 108;Gesamtdauer ms;29,575;sehr schnell
Run 108;Final Placed Rooms;7;
Run 108;Open Sockets Pre-Cap;1;
Run 108;Error Cause;None;
Run 109;Varianten-ID;Capping;
