Gruppe;Kennzahl;Wert;Bewertung
Run 70;Open Sockets Pre-Cap;6;
Run 70;Error Cause;None;
Run 71;Varianten-ID;Standard;
Run 71;Success / Failure;true;Success
Run 71;Gesamtdauer ms;338,299;spuerbar, aber fuer Offline-Generierung brauchbar
Run 71;Final Placed Rooms;12;
Run 71;Open Sockets Pre-Cap;4;
Run 71;Error Cause;None;
Run 72;Varianten-ID;Standard;
Run 72;Success / Failure;true;Success
Run 72;Gesamtdauer ms;156,537;unproblematisch
Run 72;Final Placed Rooms;12;
Run 72;Open Sockets Pre-Cap;4;
Run 72;Error Cause;None;
Run 73;Varianten-ID;Standard;
Run 73;Success / Failure;true;Success
Run 73;Gesamtdauer ms;76,925;unproblematisch
Run 73;Final Placed Rooms;12;
Run 73;Open Sockets Pre-Cap;4;
Run 73;Error Cause;None;
Run 74;Varianten-ID;Standard;
Run 74;Success / Failure;true;Success
Run 74;Gesamtdauer ms;563,729;spuerbar, aber fuer Offline-Generierung brauchbar
Run 74;Final Placed Rooms;16;
Run 74;Open Sockets Pre-Cap;7;
Run 74;Error Cause;None;
Run 75;Varianten-ID;Standard;
Run 75;Success / Failure;true;Success
Run 75;Gesamtdauer ms;403,514;spuerbar, aber fuer Offline-Generierung brauchbar
Run 75;Final Placed Rooms;16;
Run 75;Open Sockets Pre-Cap;7;
Run 75;Error Cause;None;
Run 76;Varianten-ID;Standard;
Run 76;Success / Failure;true;Success
Run 76;Gesamtdauer ms;359,778;spuerbar, aber fuer Offline-Generierung brauchbar
Run 76;Final Placed Rooms;16;
Run 76;Open Sockets Pre-Cap;7;
Run 76;Error Cause;None;
Run 77;Varianten-ID;Standard;
Run 77;Success / Failure;true;Success
Run 77;Gesamtdauer ms;314,627;spuerbar, aber fuer Offline-Generierung brauchbar
Run 77;Final Placed Rooms;16;
Run 77;Open Sockets Pre-Cap;7;
Run 77;Error Cause;None;
Run 78;Varianten-ID;Standard;
Run 78;Success / Failure;true;Success
Run 78;Gesamtdauer ms;195,978;unproblematisch
Run 78;Final Placed Rooms;16;
Run 78;Open Sockets Pre-Cap;7;
Run 78;Error Cause;None;
Run 79;Varianten-ID;Standard;
Run 79;Success / Failure;true;Success
Run 79;Gesamtdauer ms;172,811;unproblematisch
Run 79;Final Placed Rooms;16;
Run 79;Open Sockets Pre-Cap;7;
Run 79;Error Cause;None;
Run 80;Varianten-ID;Standard;
Run 80;Success / Failure;true;Success
Run 80;Gesamtdauer ms;786,999;spuerbar, aber fuer Offline-Generierung brauchbar
Run 80;Final Placed Rooms;21;
Run 80;Open Sockets Pre-Cap;9;
Run 80;Error Cause;None;
Run 81;Varianten-ID;Standard;
Run 81;Success / Failure;true;Success
Run 81;Gesamtdauer ms;645,087;spuerbar, aber fuer Offline-Generierung brauchbar
Run 81;Final Placed Rooms;21;
Run 81;Open Sockets Pre-Cap;9;
Run 81;Error Cause;None;
Run 82;Varianten-ID;Standard;
Run 82;Success / Failure;true;Success
Run 82;Gesamtdauer ms;355,983;spuerbar, aber fuer Offline-Generierung brauchbar
Run 82;Final Placed Rooms;21;
Run 82;Open Sockets Pre-Cap;9;
Run 82;Error Cause;None;
Run 83;Varianten-ID;Standard;
Run 83;Success / Failure;true;Success
Run 83;Gesamtdauer ms;256,552;spuerbar, aber fuer Offline-Generierung brauchbar
Run 83;Final Placed Rooms;21;
Run 83;Open Sockets Pre-Cap;9;
Run 83;Error Cause;None;
Run 84;Varianten-ID;Standard;
Run 84;Success / Failure;true;Success
Run 84;Gesamtdauer ms;358,275;spuerbar, aber fuer Offline-Generierung brauchbar
Run 84;Final Placed Rooms;15;
Run 84;Open Sockets Pre-Cap;5;
Run 84;Error Cause;None;
Run 85;Varianten-ID;Standard;
Run 85;Success / Failure;true;Success
Run 85;Gesamtdauer ms;229,291;unproblematisch
Run 85;Final Placed Rooms;15;
Run 85;Open Sockets Pre-Cap;5;
Run 85;Error Cause;None;
Run 86;Varianten-ID;Standard;
Run 86;Success / Failure;true;Success
Run 86;Gesamtdauer ms;1055,157;teuer, Performance pruefen
Run 86;Final Placed Rooms;20;
Run 86;Open Sockets Pre-Cap;8;
Run 86;Error Cause;None;
Run 87;Varianten-ID;Standard;
Run 87;Success / Failure;true;Success
Run 87;Gesamtdauer ms;922,265;spuerbar, aber fuer Offline-Generierung brauchbar
Run 87;Final Placed Rooms;20;
Run 87;Open Sockets Pre-Cap;8;
Run 87;Error Cause;None;
Run 88;Varianten-ID;Standard;
Run 88;Success / Failure;true;Success
Run 88;Gesamtdauer ms;645,897;spuerbar, aber fuer Offline-Generierung brauchbar
Run 88;Final Placed Rooms;20;
Run 88;Open Sockets Pre-Cap;8;
Run 88;Error Cause;None;
Run 89;Varianten-ID;Standard;
Run 89;Success / Failure;true;Success
Run 89;Gesamtdauer ms;532,643;spuerbar, aber fuer Offline-Generierung brauchbar
Run 89;Final Placed Rooms;20;
Run 89;Open Sockets Pre-Cap;8;
Run 89;Error Cause;None;
Run 90;Varianten-ID;Standard;
Run 90;Success / Failure;true;Success
Run 90;Gesamtdauer ms;413,311;spuerbar, aber fuer Offline-Generierung brauchbar
Run 90;Final Placed Rooms;20;
Run 90;Open Sockets Pre-Cap;8;
Run 90;Error Cause;None;
Run 91;Varianten-ID;Standard;
Run 91;Success / Failure;true;Success
Run 91;Gesamtdauer ms;396,265;spuerbar, aber fuer Offline-Generierung brauchbar
Run 91;Final Placed Rooms;20;
Run 91;Open Sockets Pre-Cap;8;
Run 91;Error Cause;None;
Run 92;Varianten-ID;Standard;
Run 92;Success / Failure;true;Success
Run 92;Gesamtdauer ms;193,813;unproblematisch
Run 92;Final Placed Rooms;20;
Run 92;Open Sockets Pre-Cap;8;
Run 92;Error Cause;None;
Run 93;Varianten-ID;Standard;
Run 93;Success / Failure;true;Success
Run 93;Gesamtdauer ms;385,067;spuerbar, aber fuer Offline-Generierung brauchbar
